val	count
60.74	2
43.14	2
42.8	1
41.2	16
41.39	24
41.23	69
41.37	1
40.51	27
40.5	2
40.37	4
40.25	16
40.67	3
40.85	18
41.03	2
41.07	15
40.95	10
41.0	18
41.12	3
40.99	14
41.5	38
41.6	11
41.76	53
40.74	3
41.74	4
41.9	38
39.58	1
40.77	2
42.15	26
41.09	1
42.66	28
41.81	3
43.32	1
42.63	18
42.67	41
42.71	6
42.86	12
43.57	2
43.88	6
43.78	2
43.6	1
41.3	1
43.36	54
41.98	1
58.62	1
66.67	1
44.97	6
54.13	2
65.67	1
57.46	1
60.1	2
53.38	2
52.44	1
55.93	1
55.41	4
54.92	2
59.76	2
57.7	1
44.27	7
45.07	2
44.14	1
46.3	1
62.19	2
38.9	1
40.61	1
35.98	4
62.89	2
62.69	2
58.87	1
59.31	2
60.05	2
60.48	3
60.16	2
59.11	4
58.25	1
56.75	1
44.17	1
38.52	3
38.74	3
38.67	2
40.52	3
52.51	1
51.53	1
37.98	1
26.3	1
26.41	1
26.32	1
25.94	1
28.39	2
33.88	2
33.74	2
30.57	1
35.6	2
34.94	2
35.62	1
36.49	1
40.46	2
48.04	1
39.57	3
38.13	1
35.33	1
49.28	1
59.89	2
33.03	1
44.15	3
42.88	1
44.48	3
55.0	1
53.83	2
54.07	1
52.64	1
48.65	1
49.41	1
42.65	2
43.75	2
43.49	2
38.99	2
39.46	1
38.21	3
39.49	2
39.26	1
39.17	1
39.14	1
39.23	3
38.42	1
38.92	1
39.92	2
39.63	3
39.83	1
39.87	5
39.13	2
37.04	1
31.25	1
36.01	2
30.03	2
34.08	1
30.07	2
32.56	1
33.93	2
34.83	3
33.76	1
33.73	1
36.58	1
35.29	1
37.11	1
30.46	1
29.94	2
31.37	2
32.85	1
43.28	2
39.56	1
41.46	2
32.6	1
31.85	1
33.41	1
33.69	2
32.87	1
45.65	4
36.17	1
38.41	2
50.28	1
65.17	1
44.92	1
63.1	2
40.35	1
41.25	3
40.55	1
41.02	1
40.07	2
40.83	1
39.94	2
41.06	4
41.11	2
41.33	5
41.99	3
40.0	1
42.19	10
42.51	3
43.46	29
43.67	1
42.78	6
43.01	6
43.53	4
43.33	15
42.12	3
43.09	4
41.93	1
44.96	1
61.87	1
60.84	1
45.22	1
45.88	3
51.54	1
45.03	1
51.39	3
52.84	1
53.28	3
60.23	1
61.6	1
62.3	4
55.97	2
56.55	2
53.8	3
55.34	1
58.47	1
64.62	1
42.58	1
44.05	2
49.48	1
57.68	1
62.33	1
61.64	1
62.41	1
48.94	2
31.79	1
55.58	2
63.32	1
56.98	2
56.06	1
38.57	1
33.08	2
34.14	1
54.62	1
59.6	2
46.43	1
58.46	1
29.55	1
30.62	1
32.45	4
35.88	1
36.61	1
36.2	1
37.76	2
39.66	1
48.2	1
42.22	2
55.21	1
39.22	1
39.27	1
43.19	3
46.17	1
44.37	2
44.73	1
44.5	1
43.91	2
46.8	1
55.94	2
54.73	1
51.9	1
46.88	1
44.34	1
44.28	1
50.46	1
44.42	5
39.2	3
41.67	3
39.9	2
41.51	1
41.14	2
38.79	2
36.55	2
31.33	1
30.8	2
35.18	1
32.41	1
34.26	1
37.0	1
37.67	1
35.06	4
34.97	2
32.1	1
44.12	1
38.26	1
34.65	1
45.09	2
44.16	1
37.44	1
62.96	1
39.16	1
45.42	3
40.49	3
41.88	2
41.79	4
41.48	1
54.93	2
57.48	2
54.09	1
27.22	3
63.69	1
52.58	1
51.73	1
36.59	3
40.45	2
39.97	3
28.72	1
34.31	2
32.36	1
57.75	2
60.99	1
62.54	1
53.03	1
47.03	1
30.37	1
52.08	1
27.97	2
44.29	2
61.39	2
61.84	1
58.53	2
60.39	2
61.67	1
45.16	3
44.79	1
41.53	2
40.62	7
41.01	2
39.74	3
40.2	3
42.35	4
41.57	1
42.7	4
41.83	3
40.26	2
43.16	2
41.52	5
42.04	4
42.46	1
46.36	1
60.4	2
55.42	1
57.07	3
55.4	1
55.37	1
57.28	2
60.54	1
58.77	1
53.37	1
52.91	1
42.99	2
40.14	2
40.87	4
45.76	1
44.21	2
43.21	4
45.91	2
46.95	2
40.72	2
59.64	1
47.21	2
47.97	1
44.58	2
53.07	1
56.13	1
58.88	1
60.12	1
60.18	1
59.42	1
58.33	1
57.03	1
57.32	3
56.15	2
38.87	1
44.13	1
45.05	2
39.59	1
36.64	1
28.95	2
50.74	1
58.82	1
52.96	1
50.2	1
50.96	1
47.37	5
48.74	1
38.83	1
40.12	1
40.8	1
37.55	1
39.34	1
41.55	3
43.85	2
27.15	1
27.17	1
26.53	1
27.11	1
26.19	1
25.97	1
26.31	1
27.21	1
26.26	1
27.66	3
28.73	1
35.93	1
32.24	1
34.1	1
34.56	2
