fragLen	geneLen	count
596	1397	2
299	372	1
264	1044	1
301	1044	17
302	1044	23
308	1044	69
307	1044	7
316	1044	26
321	1044	2
322	1044	8
323	1044	13
327	1044	3
328	1044	18
329	1044	3
336	1044	17
337	1044	8
339	1044	19
338	1044	6
344	1044	14
347	1044	42
351	1044	12
352	1044	54
324	1044	2
357	1044	8
358	1044	38
288	1044	1
363	1044	26
331	1044	5
368	1044	33
342	1044	2
367	1044	5
373	1044	18
375	1044	41
377	1044	5
378	1044	3
381	1044	7
417	1044	5
418	1044	2
422	1044	1
429	1044	52
374	1044	7
522	2805	1
255	622	1
507	3865	1
351	939	1
268	939	1
583	2662	1
416	2662	2
295	1110	1
296	2428	2
328	2428	1
388	2428	3
453	2428	2
590	2428	1
415	2428	2
870	2428	1
314	2043	7
406	2043	2
478	2043	1
648	2043	1
603	1546	1
599	922	1
165	1003	1
492	1003	4
380	1651	2
603	1651	1
530	1651	1
580	1651	2
393	1651	1
377	1651	4
384	1651	4
412	1651	1
326	1651	2
557	6232	1
431	6232	2
382	6232	3
618	6232	1
385	6232	3
518	1541	1
295	2509	1
258	678	1
441	2843	1
409	2843	1
737	2843	1
293	2843	1
310	2843	2
363	2843	2
329	2843	1
530	2843	3
250	2843	1
498	2843	2
511	2843	1
644	2843	1
482	2843	1
408	2843	1
417	466	3
459	1601	1
552	1601	1
485	1601	1
536	1601	1
551	1717	1
496	1717	3
695	747	1
362	747	2
300	9044	1
366	9044	2
418	9044	2
397	9044	1
298	9044	3
518	9044	1
595	9044	1
483	9044	1
384	9044	1
545	9044	1
318	9044	2
479	9044	1
335	9044	3
390	9044	2
377	9044	1
457	9044	1
350	9044	2
571	9044	1
622	9044	1
668	9044	1
481	9044	4
641	9044	1
694	9044	1
801	9044	1
158	9044	1
759	9044	2
459	9044	1
336	9044	3
486	9044	2
333	9044	2
625	9044	1
429	9044	2
602	9044	1
392	9044	1
468	9044	3
856	9044	1
830	9044	1
462	9044	1
629	9044	1
325	9044	1
459	4326	2
764	4326	1
409	4326	1
728	4326	1
369	4326	2
549	4326	1
270	4326	1
434	4326	1
748	4326	2
499	4326	1
368	4326	1
506	5579	1
466	5579	1
362	543	1
267	549	1
256	710	1
271	1397	2
266	1044	2
285	1044	1
303	1044	5
291	1044	2
334	1044	2
313	1044	1
311	1044	1
341	1044	4
343	1044	2
346	1044	6
362	1044	2
275	1044	1
365	1044	11
382	1044	26
371	1044	1
425	1044	3
427	1044	15
434	1044	4
384	1044	1
129	547	1
375	2805	1
498	2805	1
387	1523	1
473	1523	2
520	1523	1
322	3865	1
469	2662	3
335	2662	1
548	2662	4
694	2662	1
750	2662	1
374	2662	4
427	2428	2
458	2428	1
316	2428	1
515	2428	1
419	2382	1
506	2382	1
566	1945	1
311	2083	1
386	1546	1
534	1546	1
446	1546	1
623	1546	1
