val	count
596	2
299	3
264	1
301	19
302	26
308	71
307	7
316	28
321	5
322	14
323	22
327	6
328	19
329	6
336	21
337	10
339	20
338	16
344	23
347	43
351	15
352	59
324	4
357	9
358	41
288	1
363	34
331	8
368	37
342	7
367	11
373	20
375	42
377	14
378	5
381	7
417	13
418	4
422	2
429	55
374	17
522	3
255	3
507	1
268	1
583	1
416	4
295	3
296	2
388	5
453	2
590	3
415	5
870	1
314	16
406	2
478	3
648	3
603	2
599	1
165	1
492	7
380	7
530	4
580	5
393	5
384	7
412	5
326	8
557	4
431	4
382	33
618	2
385	5
518	3
258	1
441	4
409	3
737	1
293	1
310	9
250	2
498	3
511	4
644	1
482	2
408	2
459	4
552	2
485	2
536	4
551	1
496	3
695	3
362	6
300	3
366	8
397	1
298	4
595	3
483	2
545	1
318	6
479	1
335	9
390	3
457	3
350	3
571	2
622	3
668	1
481	7
641	1
694	2
801	4
158	2
759	3
486	6
333	4
625	1
602	1
392	1
468	3
856	2
830	1
462	3
629	1
325	4
764	1
728	3
369	9
549	2
270	1
434	7
748	2
499	2
506	5
466	2
267	1
256	1
271	2
266	2
285	1
303	5
291	3
334	4
313	3
311	11
341	7
343	4
346	8
275	1
365	18
371	2
425	5
427	18
129	1
387	2
473	4
520	2
469	4
548	4
750	2
458	1
515	1
419	3
566	1
386	2
534	2
446	3
623	1
433	3
653	2
662	3
99	1
494	1
529	2
755	2
432	4
661	1
663	1
474	4
739	1
451	2
464	6
578	1
444	6
320	10
447	10
424	2
332	2
654	5
484	4
398	2
564	3
411	6
449	5
795	1
841	1
544	3
383	1
813	1
617	1
467	1
430	3
619	4
315	7
860	1
531	3
437	4
438	6
135	1
812	1
284	1
426	4
471	3
523	1
309	2
683	2
585	1
513	2
213	3
405	1
472	1
547	5
420	1
259	3
304	8
475	3
540	1
124	1
163	1
231	1
317	3
306	5
356	2
370	8
349	6
330	7
782	1
794	1
771	1
556	1
707	2
567	3
448	1
760	1
721	1
442	4
394	4
148	1
428	4
519	3
565	3
505	1
497	3
516	1
628	1
410	4
620	1
562	3
533	1
292	2
504	2
538	1
490	3
476	1
693	2
361	4
607	3
643	1
745	1
463	3
396	1
535	5
543	3
359	4
673	1
736	1
706	2
652	1
503	1
688	1
609	1
840	1
831	1
403	4
642	1
594	1
559	1
162	1
345	2
376	8
355	10
579	5
131	1
277	5
591	1
226	1
1797	2
1970	1
2170	1
587	6
260	2
218	2
401	5
746	2
626	3
725	1
546	3
402	6
897	1
493	2
715	1
610	2
569	1
669	3
710	1
353	8
443	9
558	2
489	2
597	1
675	1
807	1
407	1
319	1
656	1
465	1
638	1
680	1
247	1
228	1
261	1
286	1
570	1
836	3
844	1
297	2
636	1
354	4
435	5
747	2
601	1
612	1
572	3
196	1
242	1
664	2
734	1
389	5
395	1
575	2
525	2
460	1
276	1
399	5
582	4
102	2
176	1
238	3
243	2
282	2
364	8
107	3
647	1
829	1
180	1
1617	1
1807	2
1769	2
480	7
697	2
527	1
573	3
236	1
348	1
678	1
733	1
758	1
445	1
907	1
762	1
763	1
514	1
487	1
588	1
440	3
923	1
294	2
215	3
262	1
563	1
740	1
541	1
379	5
692	2
283	1
500	1
454	4
616	2
634	1
508	1
560	1
246	2
312	2
157	1
873	1
859	1
655	2
608	1
613	1
649	1
456	2
630	1
581	1
305	1
593	1
340	1
166	1
730	2
699	1
674	1
916	1
666	2
413	3
526	2
576	2
633	2
574	1
600	1
624	1
589	2
404	2
586	2
731	1
793	1
436	2
658	1
223	1
845	1
528	1
684	1
645	1
167	1
222	1
400	2
501	2
815	1
787	1
742	1
542	2
391	1
280	1
421	1
108	2
682	1
676	1
577	1
537	1
450	1
61	1
194	1
720	1
477	2
