val	count
596	1
264	1
301	14
302	22
308	55
307	2
316	20
321	3
322	6
323	13
327	3
328	16
329	1
336	10
339	12
344	10
347	37
351	9
352	36
357	2
358	29
363	20
331	3
368	26
373	17
375	33
377	5
378	3
381	5
417	5
418	3
422	2
429	41
522	1
255	2
268	1
296	2
406	2
380	5
603	1
295	1
408	1
362	4
366	6
397	1
298	4
595	1
641	1
409	2
499	1
267	1
266	2
285	1
303	2
334	1
337	8
338	3
341	3
343	3
346	6
275	1
365	10
382	26
367	3
427	7
434	4
129	1
469	3
506	1
623	1
415	2
511	1
518	1
371	1
662	1
388	2
739	1
451	1
444	1
419	2
320	3
447	2
654	1
437	1
135	1
284	1
326	2
471	1
523	1
520	1
585	1
309	1
213	2
405	1
547	2
420	1
540	1
356	1
370	3
332	1
481	2
519	1
374	8
376	1
425	1
310	1
304	1
353	4
342	2
622	1
675	1
807	1
638	1
464	2
473	2
387	1
247	1
261	1
333	1
361	1
314	4
836	1
844	1
531	1
354	1
619	1
544	1
443	1
349	4
747	1
435	2
330	1
242	1
403	1
442	1
389	3
395	1
525	1
460	1
276	1
297	1
582	3
176	1
238	2
243	2
335	1
364	2
428	1
180	1
527	1
573	1
493	1
236	1
486	1
311	1
552	1
758	1
514	1
487	1
588	1
430	1
440	3
411	1
294	2
536	1
262	1
579	2
306	1
315	1
492	1
587	1
457	1
313	1
283	1
500	1
567	1
384	1
246	2
292	1
312	1
386	1
282	1
613	1
618	1
412	1
355	1
379	1
413	1
574	1
102	1
259	1
300	1
291	1
359	1
565	1
385	1
815	1
480	1
501	1
280	1
450	1
607	2
194	1
