val	count
299	3
308	16
316	8
323	9
337	2
338	13
347	6
324	4
288	1
336	11
342	5
367	8
322	8
429	14
374	9
507	1
351	6
583	1
416	4
295	2
328	3
388	3
453	2
590	3
415	3
870	1
314	12
478	3
648	3
603	1
599	1
165	1
492	6
530	4
580	5
393	5
377	9
384	6
412	4
326	6
557	4
431	4
382	7
618	1
385	4
518	2
258	1
441	4
409	1
737	1
293	1
310	8
363	14
329	5
250	2
498	3
511	3
644	1
482	2
417	8
459	4
552	1
485	2
536	3
551	1
496	3
695	3
300	2
483	2
545	1
318	6
479	1
335	8
390	3
457	2
350	3
571	2
622	2
668	1
481	5
694	2
801	4
158	2
759	3
486	5
333	3
625	1
602	1
392	1
468	3
856	2
830	1
462	3
629	1
325	4
764	1
728	3
369	9
549	2
270	1
434	3
748	2
368	11
506	4
466	2
256	1
271	2
303	3
291	2
307	5
313	2
311	10
344	13
357	7
358	12
365	8
352	23
371	1
425	4
427	11
375	9
387	1
473	2
520	1
548	4
750	2
458	1
515	1
419	1
566	1
386	1
534	2
446	3
331	5
346	2
433	3
653	2
99	1
494	1
529	2
755	2
432	4
661	1
663	1
474	4
464	4
578	1
373	3
444	5
424	2
332	1
484	4
398	2
564	3
411	5
449	5
795	1
841	1
544	2
383	1
813	1
617	1
467	1
430	2
619	3
315	6
595	2
860	1
531	2
469	1
438	6
812	1
426	4
341	4
327	3
309	1
683	2
513	2
472	1
259	2
304	7
475	3
255	1
124	1
163	1
231	1
301	5
320	7
317	3
306	4
366	2
349	2
330	6
782	1
471	2
302	4
794	1
771	1
556	1
707	2
567	2
448	1
760	1
721	1
442	3
394	4
148	1
522	2
428	3
519	2
565	2
505	1
497	3
516	1
628	1
410	4
447	8
620	1
562	3
533	1
292	1
504	2
538	1
321	2
490	3
437	3
476	1
693	2
361	3
343	1
607	1
643	1
745	1
463	3
396	1
535	5
543	3
359	3
673	1
736	1
706	2
652	1
503	1
654	4
688	1
609	1
840	1
831	1
403	3
642	1
594	1
559	1
596	1
162	1
339	8
345	2
370	5
334	3
355	9
579	3
131	1
277	5
591	1
226	1
1797	2
1970	1
2170	1
587	5
260	2
218	2
401	5
746	2
626	3
725	1
546	3
402	6
897	1
493	1
715	1
610	2
569	1
669	3
710	1
443	8
558	2
489	2
597	1
407	1
319	1
656	1
465	1
353	4
376	7
680	1
228	1
286	1
570	1
297	1
636	1
435	3
662	2
380	2
601	1
612	1
572	3
196	1
664	2
734	1
575	2
399	5
356	1
102	1
238	1
282	1
362	2
354	3
107	3
418	1
647	1
829	1
1617	1
1807	2
1769	2
480	6
697	2
451	1
348	1
678	1
733	1
499	1
547	3
445	1
907	1
762	1
573	2
389	2
763	1
381	2
923	1
582	1
215	3
563	1
740	1
541	1
379	4
692	2
454	4
616	2
634	1
508	1
560	1
157	1
213	1
312	1
378	2
873	1
859	1
655	2
608	1
649	1
525	1
456	2
630	1
581	1
305	1
593	1
747	1
340	1
166	1
730	2
699	1
674	1
364	6
916	1
666	2
526	2
576	2
633	2
600	1
624	1
589	2
404	2
586	2
731	1
793	1
436	2
658	1
223	1
845	1
836	2
528	1
684	1
645	1
167	1
222	1
400	2
501	1
408	1
787	1
742	1
542	2
391	1
421	1
108	2
413	2
682	1
676	1
577	1
537	1
61	1
720	1
477	2
