pos	qual	count
0	E	730
0	A	2880
0	/	79
0	6	65
0	<	5
0	#	1
1	E	717
1	A	2913
1	/	105
1	6	25
2	E	738
2	A	2897
2	/	72
2	6	51
2	<	2
3	E	734
3	A	2942
3	6	29
3	/	53
3	<	2
4	E	677
4	A	2921
4	6	77
4	/	85
5	E	3496
5	6	43
5	/	57
5	A	162
5	<	2
6	E	3475
6	6	55
6	/	57
6	A	173
7	E	3386
7	A	238
7	/	88
7	6	46
7	<	2
8	E	3448
8	A	201
8	6	41
8	/	67
8	<	3
9	E	3445
9	A	199
9	/	78
9	<	8
9	6	30
10	E	3558
10	A	132
10	/	45
10	6	22
10	<	3
11	E	3447
11	A	200
11	6	39
11	/	72
11	<	2
12	E	3465
12	A	182
12	6	49
12	/	64
13	E	3433
13	A	217
13	/	72
13	6	36
13	<	2
14	E	3425
14	A	211
14	/	81
14	6	41
14	<	2
15	E	3386
15	6	46
15	A	231
15	/	85
15	<	12
16	A	269
16	E	3206
16	/	209
16	6	72
16	<	4
17	E	3061
17	6	92
17	/	339
17	A	266
17	<	2
18	E	3381
18	A	228
18	/	75
18	6	68
18	<	8
19	E	3466
19	A	183
19	/	67
19	<	3
19	6	41
20	E	3443
20	A	205
20	/	70
20	6	37
20	<	5
21	E	3421
21	/	75
21	A	214
21	6	39
21	<	11
22	E	3343
22	/	129
22	A	240
22	6	44
22	<	4
23	E	3394
23	/	83
23	A	236
23	6	36
23	<	11
24	E	3347
24	/	109
24	A	236
24	6	60
24	<	8
25	E	3358
25	/	107
25	A	242
25	6	41
25	<	12
26	E	3359
26	A	243
26	/	100
26	6	40
26	<	18
27	E	3370
27	A	216
27	/	126
27	6	35
27	<	13
28	E	3358
28	6	45
28	/	127
28	A	221
28	<	9
29	E	3348
29	/	129
29	A	211
29	<	13
29	6	59
30	E	3354
30	A	229
30	/	109
30	<	19
30	6	49
31	E	3294
31	6	54
31	/	137
31	<	30
31	A	245
32	E	3330
32	/	138
32	A	221
32	<	27
32	6	44
33	E	3277
33	A	259
33	<	14
33	/	168
33	6	42
34	E	3367
34	6	40
34	A	221
34	/	108
34	<	24
35	E	3188
35	A	292
35	<	55
35	/	183
35	6	42
36	E	3187
36	/	217
36	A	302
36	6	34
36	<	20
37	E	3294
37	A	231
37	<	29
37	/	167
37	6	39
38	E	3231
38	6	36
38	<	41
38	/	166
38	A	286
39	E	3286
39	6	32
39	<	38
39	/	143
39	A	261
40	E	3287
40	/	138
40	A	262
40	<	34
40	6	39
41	E	3255
